Time (s),EMG_Relaxed (mV),EMG_Contracted (mV)
0.0,0.0064081571047766165,0.07732291290266169
0.000488328938372888,0.02022811440909927,0.09092754894281316
0.000976657876745776,0.024025097815608097,0.10586761454257526
0.001464986815118664,0.029097413821055497,0.10885758789089825
0.001953315753491552,0.041916208659474,0.09633550779055791
0.0024416446918644396,0.057447361400196184,0.09155606237971713
0.002929973630237328,0.06866025884901622,0.09919588423569134
0.003418302568610216,0.07086909452247493,0.09548927211374497
0.003906631506983104,0.06869911571759574,0.07121392337760701
0.0043949604453559915,0.07067101646752871,0.0450741621691929
0.004883289383728879,0.07656941691582886,0.03866135636934605
0.005371618322101768,0.07726219030700818,0.05426215324562579
0.005859947260474656,0.06684517333865687,0.07445674910635033
0.006348276198847543,0.05197312098571757,0.08143350947937163
0.006836605137220432,0.041950949415450633,0.06354849372986181
0.00732493407559332,0.03684299862046443,0.013309210772648676
0.007813263013966208,0.029955504727074013,-0.057034976921723456
0.008301591952339095,0.013587877733740225,-0.12123508387158081
0.008789920890711983,-0.013501066885457436,-0.15602626610470688
0.00927824982908487,-0.039390808257483166,-0.14628907744996797
0.009766578767457759,-0.053908346090021146,-0.10817127822701389
0.010254907705830648,-0.060965126295001365,-0.08264084115410386
0.010743236644203536,-0.06681600920901891,-0.08489545351420612
0.011231565582576424,-0.07144787517858629,-0.0937077621776854
0.011719894520949311,-0.07213487020492852,-0.08781449871663582
0.012208223459322199,-0.07219314310342999,-0.0660333547000971
0.012696552397695087,-0.07506452964802329,-0.03945741433037091
0.013184881336067975,-0.07652943283297713,-0.02359950548271359
0.013673210274440864,-0.07495136946874927,-0.026695800954376944
0.014161539212813752,-0.07025655634863212,-0.035538911355295535
0.01464986815118664,-0.06104327941927829,-0.03317069973394099
0.015138197089559527,-0.047730884322259755,-0.022399932366751665
0.015626526027932415,-0.03001257882668686,-0.009432739114224289
0.016114854966305305,-0.011758193868755326,0.008918507886355145
0.01660318390467819,0.0031017430417792985,0.029766939240585294
0.01709151284305108,0.01557334060778178,0.04307983704112223
0.017579841781423966,0.025958071871744266,0.045066673245843056
0.018068170719796856,0.03682126102933435,0.044285492152371236
0.01855649965816974,0.04952761742706624,0.05573678623437081
0.01904482859654263,0.06115884278122104,0.08387884366334106
0.019533157534915517,0.07011733149024299,0.11180526833650756
0.020021486473288407,0.07578404457329349,0.11626144876188833
0.020509815411661296,0.08093350369519109,0.0966134415063693
0.020998144350034182,0.08531213749213101,0.06982013430964312
0.02148647328840707,0.08047630881638368,0.04410310576390651
0.021974802226779958,0.06736992049346038,0.020192119257195905
0.022463131165152847,0.05858879248695409,0.0034142625236412427
0.022951460103525733,0.059065014890657734,0.003967523800836863
0.023439789041898623,0.05757802157457468,0.024922205409535637
0.023928117980271512,0.04381059522767851,0.050440320891292675
0.024416446918644398,0.02612768943812062,0.059261354267446484
0.024904775857017288,0.011273632384150023,0.0461453329385737
0.025393104795390174,-0.006190000930141219,0.022188336198713743
0.025881433733763063,-0.023406882578601514,0.003245807700694256
0.02636976267213595,-0.035853119665882865,-0.009230741068869085
0.02685809161050884,-0.047846697504244355,-0.03249382601797665
0.027346420548881728,-0.06144071361376657,-0.06930858119130646
